tweet_created_at,tweet_favorite_count,tweet_in_reply_to_user_id,tweet_retweet_count,user_created_at,user_default_profile,user_default_profile_image,user_favourites_count,user_followers_count,user_friends_count,user_geo_enabled,user_has_extended_profile,user_id,user_listed_count,user_location,user_statuses_count,user_name,user_screen_name
Fri Sep 07 15:32:53 +0000 2018,0,415859364 ,0,Tue Sep 08 03:25:18 +0000 2009,0,0,1139,423,362,1,0,72460309 ,41,"San Diego, CA",2588,Alex Cram,alexcram
Fri Sep 07 15:32:51 +0000 2018,0,794060829146480000 ,0,Wed Apr 08 13:02:34 +0000 2009,0,0,56,6429,6483,0,0,29709188 ,49,"South Fl, Infidel USA",10723,EndSanctuaryCities,FreetheRepublic
Fri Sep 07 15:31:34 +0000 2018,1,969786374 ,1,Sun Nov 25 10:18:54 +0000 2012,1,0,9022,252,239,1,0,969786374 ,34,New York City New York,2128,BMJSports,BarronsMedicalJ
Fri Sep 07 15:31:32 +0000 2018,7,2688323834 ,0,Sat Aug 26 00:15:31 +0000 2017,1,0,2676,35,136,0,0,901236631444893000 ,0,"Oklahoma City, OK",225,Lisa Kuntz,keksmom
Fri Sep 07 15:31:08 +0000 2018,1,243301338 ,0,Thu Nov 30 14:28:13 +0000 2017,0,0,27964,1020,1050,0,0,936240453329887000 ,4,"Seattle, WA",19688,Sjk 吼葛吼葛,sandrakimdone
Fri Sep 07 15:30:09 +0000 2018,0,803694179079458000 ,0,Mon Jun 30 17:13:14 +0000 2014,1,0,55624,7665,8426,1,1,2596671277 ,224,"Texas, USA",,别吼赣torme别吼脯False,297237
Fri Sep 07 15:28:26 +0000 2018,0,823005807201525000 ,0,Sat Feb 07 23:10:32 +0000 2009,0,0,26883,13527,10255,0,0,20339841 ,125,USA ,40773,LGBT+Resist 筹ü,Dyke67ny
Fri Sep 07 15:27:50 +0000 2018,0,25073877 ,0,Thu Nov 30 22:35:02 +0000 2017,0,0,1044,14,108,0,0,936362966710210000 ,0,UK,420,polly,quercus24
Fri Sep 07 15:25:58 +0000 2018,0,28572020 ,0,Fri Aug 24 15:36:18 +0000 2018,0,0,34,13,40,0,1,1033015145696510000 ,0,"Wisconsin, USA",46,PrincessSarina,PrincessSarina6
Fri Sep 07 15:23:48 +0000 2018,0,25073877 ,0,Mon Nov 22 06:29:45 +0000 2010,1,0,2075,52,157,0,0,218390864 ,0,,63,Becky C.,Becky77_tweets
